	"'1805113Tt_Host_T_turrifex_from_Texas_UTTyler'"	"'1705091Ts_Host_T_septentrionalis_from_Texas_BrazosCounty'"	"'1705092Ts_Host_T_septentrionalis_from_Texas_BrazosCounty'"	"'1705131Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty'"	"'1705132Ts_Host_T_septentrionalis_from_Texas_MontgomeryCounty'"	"'1705142Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	"'1705146Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	"'1705147Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	"'1706101Ts_Host_T_septentrionalis_from_Texas_HarrisCounty'"	"'1706102Ts_Host_T_septentrionalis_from_Texas_HarrisCounty'"	"'1706141Ts_Host_T_septentrionalis_from_Texas_WallerCounty'"	"'1706171Ts_Host_T_septentrionalis_from_Texas_BastropCounty'"	"'1706175Ts_Host_T_septentrionalis_from_Texas_BastropCounty'"	"'JLL1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty'"	"'JLL1805112Ts_Host_T_septentrionalis_from_Texas_UTTyler'"	"'JNS1604072Ts10_Host_T_septentrionalis_from_Texas_UTTyler'"	"'JNS1605215_Host_T_septentrionalis_from_Texas_BastropCounty'"	"'JNS1605224_Host_T_septentrionalis_from_Texas_Stengl'"	"'JNS1605243_Host_T_septentrionalis_from_Texas_UpshurCounty'"	"'JNS1605312_Host_T_septentrionalis_from_Texas_UTTyler'"	"'JNS1605313_Host_T_septentrionalis_from_Texas_UTTyler'"	"'JNS1605315_Host_T_septentrionalis_from_Texas_SmithCounty'"	"'JNS1704078Ts_Host_T_septentrionalis_from_Texas_Stengl'"	"'JNS1705237Ts_Host_T_septentrionalis_from_Oklahoma_Norman'"	"'KK16053004_Host_T_septentrionalis_from_Texas_CherokeeCounty'"	"'SS1705238Ts_Host_T_septentrionalis_from_Oklahoma_ClevelandCounty'"	"'SS1803301Ts_Host_T_septentrionalis_from_Texas_FayetteCounty'"	"'SS1803312Ts_Host_T_septentrionalis_from_Texas_BurlesonCounty'"	"'1804292Tt_Host_T_turrifex_from_Texas_GrimesCounty'"	"'1704211Tt_Host_T_turrifex_from_Texas_UTTyler'"
ATs1P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs2B4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs3B4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs4B4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs5B2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs6B2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs7B2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs8B2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs9B4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs10B4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs11B4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs13B4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs15B5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs16B4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs17B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs18B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs19B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ATs20B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ATs21B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATs22B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATs23B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATs24B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATs25B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATs27B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ATs28B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ATs30B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ATs31B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ATs32B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AMt4B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AMt2B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
